"Mês Ano";"Área de atuação (Função)";"Subfunção";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"01/2017";"10 - Saúde";"124 - Controle interno";"20.000,00";"0,00";"0,00";"359.023,75";
"01/2017";"10 - Saúde";"541 - Preservação e conservação ambiental";"0,00";"0,00";"0,00";"184.051,68";
"01/2017";"10 - Saúde";"846 - Outros encargos especiais";"1.410.535.305,00";"103.016.082,60";"7.690.213,38";"0,00";
"01/2017";"10 - Saúde";"121 - Planejamento e orçamento";"554.689,72";"13.357,64";"13.357,64";"1.530.673,87";
"01/2017";"10 - Saúde";"572 - Desenvolvimento tecnológico e engenharia";"4.077.719,02";"1.891.833,65";"874.109,04";"4.723.277,14";
"01/2017";"10 - Saúde";"306 - Alimentação e nutrição";"15.427.489,00";"0,00";"0,00";"0,00";
"01/2017";"10 - Saúde";"131 - Comunicação social";"1.330.416,94";"928.462,70";"587.543,57";"11.720.843,70";
"01/2017";"10 - Saúde";"126 - Tecnologia da informação";"30.364.312,35";"0,00";"0,00";"20.916.139,79";
"01/2017";"10 - Saúde";"573 - Difusão do conhecimento científico e tecnológico";"612.448,33";"505.024,86";"505.024,86";"61.154,57";
"01/2017";"10 - Saúde";"391 - Patrimônio histórico, artístico e arqueológico";"641.912,02";"525.726,55";"525.726,55";"237.419,39";
"01/2017";"10 - Saúde";"512 - Saneamento básico urbano";"54.000,00";"1.933,11";"739,92";"7.302.722,53";
"01/2017";"10 - Saúde";"511 - Saneamento básico rural";"15.734,89";"0,00";"0,00";"3.473.001,03";
"01/2017";"10 - Saúde";"301 - Atenção básica";"2.135.381.917,51";"1.628.923.586,42";"1.321.746.620,77";"29.956.468,98";
"01/2017";"10 - Saúde";"128 - Formação de recursos humanos";"74.829.213,65";"62.507.865,25";"45.053.155,32";"2.350.255,53";
"01/2017";"10 - Saúde";"305 - Vigilância epidemiológica";"185.538.067,21";"15.799.036,92";"3.008.916,99";"175.449.879,34";
"01/2017";"10 - Saúde";"125 - Normatização e fiscalização";"1.888.467,57";"28.362,07";"21.082,68";"2.351.689,62";
"01/2017";"10 - Saúde";"304 - Vigilância sanitária";"4.585.094,81";"982.431,80";"982.207,94";"2.811.093,79";
"01/2017";"10 - Saúde";"331 - Proteção e benefícios ao trabalhador";"534.436.189,98";"48.677.314,83";"48.425.653,51";"1.818.908,27";
"01/2017";"10 - Saúde";"422 - Direitos individuais, coletivos e difusos";"2.581.578,47";"1.711,18";"1.711,18";"3.329.180,70";
"01/2017";"10 - Saúde";"571 - Desenvolvimento científico";"15.100.646,50";"10.353.004,52";"9.719.944,26";"6.842.091,60";
"01/2017";"10 - Saúde";"303 - Suporte profilático e terapêutico";"2.587.986.859,36";"60.275.526,31";"16.202.053,78";"40.838.057,33";
"01/2017";"10 - Saúde";"423 - Assistência aos povos indígenas";"137.480.669,53";"5.040.111,05";"4.127.516,24";"27.486.837,57";
"01/2017";"10 - Saúde";"302 - Assistência hospitalar e ambulatorial";"3.496.859.267,26";"3.271.141.184,28";"3.219.852.745,53";"238.421.794,99";
"01/2017";"10 - Saúde";"122 - Administração geral";"8.108.838.031,57";"718.862.447,46";"717.979.268,86";"60.330.041,59";
"02/2017";"10 - Saúde";"422 - Direitos individuais, coletivos e difusos";"345.950,74";"60.303,05";"60.303,05";"4.915.803,85";
"02/2017";"10 - Saúde";"124 - Controle interno";"60.000,00";"3.726,44";"3.726,44";"0,00";
"02/2017";"10 - Saúde";"306 - Alimentação e nutrição";"0,00";"12.206.000,00";"12.206.000,00";"48.416,00";
"02/2017";"10 - Saúde";"121 - Planejamento e orçamento";"1.075.278,04";"35.992,87";"35.992,87";"4.156.113,27";
"02/2017";"10 - Saúde";"541 - Preservação e conservação ambiental";"25.000,00";"3.894,70";"3.894,70";"56.712,23";
"02/2017";"10 - Saúde";"573 - Difusão do conhecimento científico e tecnológico";"1.472.945,04";"878.675,49";"314.585,37";"20.111,26";
"02/2017";"10 - Saúde";"131 - Comunicação social";"582.446,35";"584.400,59";"925.319,72";"12.026.935,82";
"02/2017";"10 - Saúde";"846 - Outros encargos especiais";"24.068.114,00";"108.481.387,29";"203.807.256,51";"0,00";
"02/2017";"10 - Saúde";"572 - Desenvolvimento tecnológico e engenharia";"848.943,74";"1.074.869,88";"1.700.132,90";"10.168.324,00";
"02/2017";"10 - Saúde";"125 - Normatização e fiscalização";"3.344.323,37";"921.453,32";"924.428,95";"1.750.978,93";
"02/2017";"10 - Saúde";"512 - Saneamento básico urbano";"- 2.874,73";"19.688,84";"20.814,35";"13.104.397,85";
"02/2017";"10 - Saúde";"391 - Patrimônio histórico, artístico e arqueológico";"532.785,51";"311.413,35";"134.526,97";"1.734,71";
"02/2017";"10 - Saúde";"331 - Proteção e benefícios ao trabalhador";"6.271.961,32";"51.584.086,62";"50.478.328,96";"840.836,97";
