"Mês Ano";"Área de atuação (Função)";"Subfunção";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"01/2018";"10 - Saúde";"541 - Preservação e conservação ambiental";"11.000,00";"1.573,70";"1.573,70";"109.166,80";
"01/2018";"10 - Saúde";"846 - Outros encargos especiais";"1.392.418.634,47";"26.432.592,35";"20.890.378,49";"16.868,73";
"01/2018";"10 - Saúde";"124 - Controle interno";"25.951,85";"4.472,82";"4.472,82";"1.480.182,79";
"01/2018";"10 - Saúde";"422 - Direitos individuais, coletivos e difusos";"213.309,69";"5.123,11";"5.028,11";"909.275,62";
"01/2018";"10 - Saúde";"306 - Alimentação e nutrição";"0,00";"0,00";"0,00";"778.303,31";
"01/2018";"10 - Saúde";"126 - Tecnologia da informação";"29.201.053,87";"27.187,57";"25.093,43";"25.269.976,16";
"01/2018";"10 - Saúde";"121 - Planejamento e orçamento";"168.837,71";"6.316,55";"6.316,55";"617.319,06";
"01/2018";"10 - Saúde";"572 - Desenvolvimento tecnológico e engenharia";"0,00";"0,00";"0,00";"779.193,95";
"01/2018";"10 - Saúde";"131 - Comunicação social";"10.008.911,78";"63.877,81";"63.877,81";"18.997.438,63";
"01/2018";"10 - Saúde";"511 - Saneamento básico rural";"1.195.954,99";"5.310,00";"0,00";"1.438.509,74";
"01/2018";"10 - Saúde";"573 - Difusão do conhecimento científico e tecnológico";"330.457,64";"326.391,85";"4.536,36";"964.149,97";
"01/2018";"10 - Saúde";"512 - Saneamento básico urbano";"10.000,00";"0,00";"0,00";"19.711.799,67";
"01/2018";"10 - Saúde";"125 - Normatização e fiscalização";"2.478.976,80";"59.288,16";"59.288,16";"1.300.585,58";
"01/2018";"10 - Saúde";"128 - Formação de recursos humanos";"68.870.326,13";"54.712.381,03";"54.694.266,51";"2.999.241,95";
"01/2018";"10 - Saúde";"304 - Vigilância sanitária";"2.470.001,61";"644.493,31";"571.886,84";"1.704.489,79";
"01/2018";"10 - Saúde";"303 - Suporte profilático e terapêutico";"1.591.284.972,74";"57.347.919,23";"56.633.315,97";"410.122.012,53";
"01/2018";"10 - Saúde";"423 - Assistência aos povos indígenas";"46.147.073,63";"10.944.695,55";"616.416,76";"186.021.144,41";
"01/2018";"10 - Saúde";"571 - Desenvolvimento científico";"21.333.524,95";"11.221.532,59";"9.671.292,94";"10.972.167,00";
"01/2018";"10 - Saúde";"364 - Ensino superior";"0,00";"0,00";"0,00";"0,00";
"01/2018";"10 - Saúde";"301 - Atenção básica";"1.751.601.635,26";"1.391.238.900,37";"1.391.235.907,22";"454.462.050,30";
"01/2018";"10 - Saúde";"122 - Administração geral";"7.678.282.243,25";"698.971.125,94";"695.771.913,30";"49.995.997,05";
"01/2018";"10 - Saúde";"331 - Proteção e benefícios ao trabalhador";"550.698.551,88";"46.686.543,48";"46.443.153,48";"1.513.154,96";
"01/2018";"10 - Saúde";"302 - Assistência hospitalar e ambulatorial";"3.546.357.868,67";"3.355.536.558,25";"3.333.214.077,24";"766.649.723,65";
