"Mês Ano";"Área de atuação (Função)";"Subfunção";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"01/2015";"10 - Saúde";"183 - Informação e inteligência";"0,00";"0,00";"0,00";"2.689,20";
"01/2015";"10 - Saúde";"243 - Assistência à criança e ao adolescente";"0,00";"0,00";"0,00";"536.236,57";
"01/2015";"10 - Saúde";"364 - Ensino superior";"0,00";"0,00";"0,00";"422.392,58";
"01/2015";"10 - Saúde";"121 - Planejamento e orçamento";"3.213.073,00";"9.225,60";"9.225,60";"44.569,49";
"01/2015";"10 - Saúde";"124 - Controle interno";"20.000,00";"0,00";"0,00";"204.787,40";
"01/2015";"10 - Saúde";"306 - Alimentação e nutrição";"0,00";"0,00";"0,00";"455.859,45";
"01/2015";"10 - Saúde";"422 - Direitos individuais, coletivos e difusos";"6.572.765,00";"27.381,81";"27.381,81";"10.652.752,87";
"01/2015";"10 - Saúde";"511 - Saneamento básico rural";"22.127,60";"0,00";"0,00";"2.531.078,75";
"01/2015";"10 - Saúde";"572 - Desenvolvimento tecnológico e engenharia";"48.171.822,41";"659.354,28";"659.354,28";"24.564.223,25";
"01/2015";"10 - Saúde";"541 - Preservação e conservação ambiental";"0,00";"0,00";"0,00";"642,08";
"01/2015";"10 - Saúde";"391 - Patrimônio histórico, artístico e arqueológico";"156.566,58";"93.868,75";"93.868,75";"9.621,58";
"01/2015";"10 - Saúde";"131 - Comunicação social";"1.038.253,30";"800.374,23";"800.374,23";"11.950.001,58";
"01/2015";"10 - Saúde";"128 - Formação de recursos humanos";"194.400.477,60";"35.395.532,63";"28.556.505,22";"5.585.639,82";
"01/2015";"10 - Saúde";"512 - Saneamento básico urbano";"52.888,47";"1.992,60";"1.992,60";"23.802.161,64";
"01/2015";"10 - Saúde";"126 - Tecnologia da informação";"14.454.037,84";"36.433,43";"36.433,43";"31.382.837,88";
"01/2015";"10 - Saúde";"301 - Atenção básica";"3.262.678.230,56";"2.466.381.907,32";"2.463.648.456,03";"23.476.740,96";
"01/2015";"10 - Saúde";"331 - Proteção e benefícios ao trabalhador";"465.285.086,61";"37.674.462,07";"36.939.651,21";"2.090.390,15";
"01/2015";"10 - Saúde";"125 - Normatização e fiscalização";"2.245.041,51";"109.700,49";"92.346,11";"1.405.916,80";
"01/2015";"10 - Saúde";"573 - Difusão do conhecimento científico e tecnológico";"480.512,68";"444.365,74";"444.365,74";"982.010,08";
"01/2015";"10 - Saúde";"423 - Assistência aos povos indígenas";"244.136.108,65";"54.213.877,40";"48.470.555,33";"27.343.952,24";
"01/2015";"10 - Saúde";"305 - Vigilância epidemiológica";"283.080.455,02";"171.771.684,30";"168.703.684,30";"226.481.289,36";
"01/2015";"10 - Saúde";"571 - Desenvolvimento científico";"21.093.456,87";"10.173.821,30";"5.790.863,01";"24.794.810,42";
"01/2015";"10 - Saúde";"303 - Suporte profilático e terapêutico";"2.770.658.279,69";"333.799.685,41";"300.943.179,19";"327.936.023,54";
"01/2015";"10 - Saúde";"304 - Vigilância sanitária";"19.992.958,47";"1.206.557,56";"1.082.034,67";"1.967.173,46";
"01/2015";"10 - Saúde";"122 - Administração geral";"8.521.528.939,80";"837.291.001,94";"835.944.206,30";"40.019.219,42";
