"Mês Ano";"Área de atuação (Função)";"Subfunção";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"01/2023";"10 - Saúde";"422 - Direitos individuais, coletivos e difusos";"0,00";"0,00";"0,00";"95.417,06";
"01/2023";"10 - Saúde";"121 - Planejamento e orçamento";"100.000,00";"0,00";"0,00";"1.030.210,69";
"01/2023";"10 - Saúde";"846 - Outros encargos especiais";"986.200.000,00";"77.715.528,45";"77.715.528,45";"9.803,70";
"01/2023";"10 - Saúde";"391 - Patrimônio histórico, artístico e arqueológico";"1.414.072,90";"175.768,38";"29.476,40";"62.928,95";
"01/2023";"10 - Saúde";"541 - Preservação e conservação ambiental";"0,00";"0,00";"0,00";"1.683.623,99";
"01/2023";"10 - Saúde";"572 - Desenvolvimento tecnológico e engenharia";"95.499,82";"60.559,62";"60.559,62";"2.500.097,24";
"01/2023";"10 - Saúde";"306 - Alimentação e nutrição";"0,00";"0,00";"0,00";"160.400,00";
"01/2023";"10 - Saúde";"131 - Comunicação social";"21.200.000,00";"0,00";"0,00";"23.692.096,86";
"01/2023";"10 - Saúde";"125 - Normatização e fiscalização";"459.273,23";"21.421,04";"20.500,62";"775.123,07";
"01/2023";"10 - Saúde";"304 - Vigilância sanitária";"21.496.358,23";"920.591,69";"899.736,78";"4.081.798,21";
"01/2023";"10 - Saúde";"573 - Difusão do conhecimento científico e tecnológico";"550.299,68";"30.911,21";"19.250,00";"14.698.604,57";
"01/2023";"10 - Saúde";"511 - Saneamento básico rural";"5.394.577,68";"651.871,49";"161.990,24";"7.822.755,46";
"01/2023";"10 - Saúde";"126 - Tecnologia da informação";"30.437.333,75";"874.712,33";"846.624,11";"18.421.909,10";
"01/2023";"10 - Saúde";"512 - Saneamento básico urbano";"4.636,20";"4.636,20";"0,00";"9.132.482,41";
"01/2023";"10 - Saúde";"331 - Proteção e benefícios ao trabalhador";"577.063.619,15";"51.406.043,51";"5.283.573,00";"0,00";
"01/2023";"10 - Saúde";"301 - Atenção básica";"2.461.451.309,32";"2.111.089.798,65";"2.013.067.566,03";"64.568.510,57";
"01/2023";"10 - Saúde";"305 - Vigilância epidemiológica";"264.201.177,52";"180.596.410,65";"180.172.442,10";"2.239.346.914,79";
"01/2023";"10 - Saúde";"571 - Desenvolvimento científico";"13.344.298,95";"1.776.687,92";"595.275,93";"39.156.194,68";
"01/2023";"10 - Saúde";"303 - Suporte profilático e terapêutico";"4.515.730.638,32";"359.931.164,01";"265.805.078,27";"645.573.646,36";
"01/2023";"10 - Saúde";"423 - Assistência aos povos indígenas";"230.222.433,74";"161.354.132,36";"124.308.861,88";"50.496.880,75";
"01/2023";"10 - Saúde";"122 - Administração geral";"5.331.523.175,52";"552.226.302,87";"209.605.422,56";"473.444.663,89";
"01/2023";"10 - Saúde";"302 - Assistência hospitalar e ambulatorial";"8.081.647.002,41";"3.847.391.759,24";"3.805.638.556,65";"833.265.016,88";
"01/2023";"10 - Saúde";"128 - Formação de recursos humanos";"130.448.525,71";"18.626.719,66";"6.293.659,63";"38.282.939,68";
"02/2023";"10 - Saúde";"124 - Controle interno";"50.000,00";"0,00";"0,00";"0,00";
"02/2023";"10 - Saúde";"846 - Outros encargos especiais";"2.000.000,00";"76.110.646,82";"76.110.646,82";"0,00";
"02/2023";"10 - Saúde";"131 - Comunicação social";"0,00";"0,00";"0,00";"15.837.890,45";
"02/2023";"10 - Saúde";"422 - Direitos individuais, coletivos e difusos";"880.291,27";"76.241,15";"75.986,12";"702.453,59";
"02/2023";"10 - Saúde";"512 - Saneamento básico urbano";"294.629,88";"20.651,08";"12.164,82";"9.429.954,57";
"02/2023";"10 - Saúde";"541 - Preservação e conservação ambiental";"53.500,00";"9.484,82";"8.536,37";"762.151,88";
"02/2023";"10 - Saúde";"391 - Patrimônio histórico, artístico e arqueológico";"455.225,72";"943.510,99";"220.772,47";"73.011,63";
"02/2023";"10 - Saúde";"572 - Desenvolvimento tecnológico e engenharia";"4.252.016,29";"4.096.201,60";"14.940,09";"23.484.540,51";
"02/2023";"10 - Saúde";"121 - Planejamento e orçamento";"5.368.016,30";"5.297.568,60";"4.118,60";"5.000.000,00";
"02/2023";"10 - Saúde";"128 - Formação de recursos humanos";"132.706.021,16";"125.851.536,15";"122.212.467,92";"2.952.212,78";
"02/2023";"10 - Saúde";"306 - Alimentação e nutrição";"156.138,78";"156.138,78";"156.138,78";"2.287.293,00";
"02/2023";"10 - Saúde";"125 - Normatização e fiscalização";"6.074.357,98";"944.671,17";"915.621,06";"62.534,00";
"02/2023";"10 - Saúde";"331 - Proteção e benefícios ao trabalhador";"11.717.740,10";"54.050.788,60";"51.613.738,04";"0,00";
