"Mês Ano";"Área de atuação (Função)";"Subfunção";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"01/2019";"10 - Saúde";"124 - Controle interno";"69.600,00";"0,00";"0,00";"5.010,03";
"01/2019";"10 - Saúde";"846 - Outros encargos especiais";"1.343.197.305,00";"100.045.936,94";"100.045.850,00";"13.728.100,20";
"01/2019";"10 - Saúde";"364 - Ensino superior";"0,00";"0,00";"0,00";"0,00";
"01/2019";"10 - Saúde";"541 - Preservação e conservação ambiental";"374.030,88";"0,00";"0,00";"530.058,17";
"01/2019";"10 - Saúde";"126 - Tecnologia da informação";"18.373.767,09";"129.470,05";"129.470,05";"21.072.448,66";
"01/2019";"10 - Saúde";"131 - Comunicação social";"1.002.000,00";"0,00";"0,00";"21.681.623,90";
"01/2019";"10 - Saúde";"573 - Difusão do conhecimento científico e tecnológico";"2.022.826,71";"1.879.331,57";"1.109.505,86";"317.897,69";
"01/2019";"10 - Saúde";"511 - Saneamento básico rural";"1.330.257,52";"410.076,62";"11.250,00";"7.867.767,65";
"01/2019";"10 - Saúde";"512 - Saneamento básico urbano";"144.000,00";"0,00";"0,00";"26.088.796,44";
"01/2019";"10 - Saúde";"128 - Formação de recursos humanos";"75.913.282,99";"62.601.515,13";"9.479.015,69";"62.511.843,83";
"01/2019";"10 - Saúde";"306 - Alimentação e nutrição";"0,00";"0,00";"0,00";"11.242.538,39";
"01/2019";"10 - Saúde";"301 - Atenção básica";"2.510.482.252,76";"698.098.475,94";"574.520.707,29";"276.242.554,37";
"01/2019";"10 - Saúde";"303 - Suporte profilático e terapêutico";"743.047.249,66";"164.552.732,15";"131.411.263,16";"531.436.042,57";
"01/2019";"10 - Saúde";"305 - Vigilância epidemiológica";"1.456.043.108,01";"38.790.665,58";"3.452.485,97";"168.779.607,35";
"01/2019";"10 - Saúde";"304 - Vigilância sanitária";"3.533.170,90";"953.619,97";"817.249,63";"3.601.497,87";
