"Mês Ano";"Área de atuação (Função)";"Subfunção";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"01/2014";"10 - Saúde";"243 - Assistência à criança e ao adolescente";"0,00";"0,00";"0,00";"199.664,00";
"01/2014";"10 - Saúde";"541 - Preservação e conservação ambiental";"29.000,00";"1.192,80";"484,80";"50.887,07";
"01/2014";"10 - Saúde";"422 - Direitos individuais, coletivos e difusos";"13.903.809,36";"25.436,01";"25.436,01";"4.036.643,34";
"01/2014";"10 - Saúde";"364 - Ensino superior";"0,00";"0,00";"0,00";"2.473.561,86";
"01/2014";"10 - Saúde";"183 - Informação e inteligência";"0,00";"0,00";"0,00";"623.379,67";
"01/2014";"10 - Saúde";"365 - Educação infantil";"0,00";"0,00";"0,00";"233.279,51";
"01/2014";"10 - Saúde";"391 - Patrimônio histórico, artístico e arqueológico";"747.601,13";"486.543,69";"186.543,69";"67.699,56";
"01/2014";"10 - Saúde";"126 - Tecnologia da informação";"90.160.027,76";"21.394,95";"21.394,95";"24.215.645,92";
"01/2014";"10 - Saúde";"131 - Comunicação social";"50.498.644,25";"0,00";"0,00";"3.508.345,15";
"01/2014";"10 - Saúde";"572 - Desenvolvimento tecnológico e engenharia";"14.919.891,19";"353.729,95";"334.412,95";"8.459.018,18";
"01/2014";"10 - Saúde";"573 - Difusão do conhecimento científico e tecnológico";"2.128.551,27";"1.130.820,77";"1.086.816,34";"146.461,70";
"01/2014";"10 - Saúde";"128 - Formação de recursos humanos";"357.740.355,49";"18.519.985,13";"18.360.908,09";"18.726.919,23";
"01/2014";"10 - Saúde";"121 - Planejamento e orçamento";"1.311.004,00";"20.726,11";"18.221,16";"268.112,76";
"01/2014";"10 - Saúde";"511 - Saneamento básico rural";"14.290.338,82";"0,00";"0,00";"12.975.234,35";
"01/2014";"10 - Saúde";"124 - Controle interno";"190.000,00";"190,15";"190,15";"192.165,21";
"01/2014";"10 - Saúde";"305 - Vigilância epidemiológica";"227.198.824,62";"36.107.002,18";"9.160.499,94";"149.683.608,91";
