"Mês Ano";"Área de atuação (Função)";"Subfunção";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"01/2020";"10 - Saúde";"121 - Planejamento e orçamento";"15.550,00";"0,00";"0,00";"979.994,63";
"01/2020";"10 - Saúde";"131 - Comunicação social";"158.184,11";"8.184,11";"12,67";"9.844.956,36";
"01/2020";"10 - Saúde";"846 - Outros encargos especiais";"1.030.774.695,00";"86.142.055,83";"86.141.978,40";"21.286,00";
"01/2020";"10 - Saúde";"541 - Preservação e conservação ambiental";"0,00";"0,00";"0,00";"10.815,82";
"01/2020";"10 - Saúde";"124 - Controle interno";"12.567,00";"0,00";"0,00";"68.990,16";
"01/2020";"10 - Saúde";"422 - Direitos individuais, coletivos e difusos";"633.825,00";"1.249,92";"1.249,92";"2.469.234,15";
"01/2020";"10 - Saúde";"306 - Alimentação e nutrição";"30.385,18";"30.385,18";"30.385,18";"1.275.971,20";
"01/2020";"10 - Saúde";"391 - Patrimônio histórico, artístico e arqueológico";"709.574,20";"694.238,66";"376.611,16";"594.583,39";
"01/2020";"10 - Saúde";"512 - Saneamento básico urbano";"0,00";"0,00";"0,00";"13.748.934,02";
"01/2020";"10 - Saúde";"126 - Tecnologia da informação";"22.956.024,09";"22.678,60";"22.678,60";"12.303.741,82";
"01/2020";"10 - Saúde";"573 - Difusão do conhecimento científico e tecnológico";"3.209.067,48";"1.955.707,83";"1.018.295,63";"861.793,11";
"01/2020";"10 - Saúde";"304 - Vigilância sanitária";"3.480.577,31";"1.057.117,42";"660.713,31";"1.115.241,36";
"01/2020";"10 - Saúde";"125 - Normatização e fiscalização";"3.200.867,66";"138.543,61";"134.001,76";"1.339.795,15";
"01/2020";"10 - Saúde";"572 - Desenvolvimento tecnológico e engenharia";"708.894,79";"309.002,07";"309.002,07";"1.365.329,55";
"01/2020";"10 - Saúde";"423 - Assistência aos povos indígenas";"181.805.043,96";"19.283.289,58";"640.186,08";"40.580.625,46";
"01/2020";"10 - Saúde";"571 - Desenvolvimento científico";"17.302.874,11";"7.487.311,48";"2.955.148,32";"9.411.288,36";
"01/2020";"10 - Saúde";"128 - Formação de recursos humanos";"86.148.157,42";"66.357.414,33";"10.463.279,36";"61.573.213,46";
"01/2020";"10 - Saúde";"303 - Suporte profilático e terapêutico";"2.371.849.301,88";"224.886.912,55";"137.735.709,20";"329.258.947,54";
"01/2020";"10 - Saúde";"511 - Saneamento básico rural";"11.875.436,97";"234.219,84";"9.239,16";"6.911.840,98";
"01/2020";"10 - Saúde";"331 - Proteção e benefícios ao trabalhador";"462.935.053,26";"40.411.198,19";"5.334.451,02";"36.611.586,93";
"01/2020";"10 - Saúde";"301 - Atenção básica";"502.810.265,69";"198.026.091,70";"10.608.790,76";"515.951.337,48";
"01/2020";"10 - Saúde";"305 - Vigilância epidemiológica";"906.879.565,61";"107.629.119,36";"91.690.795,52";"387.932.042,76";
"01/2020";"10 - Saúde";"122 - Administração geral";"5.984.510.651,94";"605.821.590,90";"208.512.928,10";"543.204.838,86";
"01/2020";"10 - Saúde";"302 - Assistência hospitalar e ambulatorial";"5.000.918.024,94";"3.714.713.095,01";"3.673.769.024,04";"503.111.932,65";
"02/2020";"10 - Saúde";"121 - Planejamento e orçamento";"25.535,00";"434,06";"434,06";"747.527,02";
"02/2020";"10 - Saúde";"124 - Controle interno";"1.709.488,00";"1.655,48";"920,84";"31.950,45";
"02/2020";"10 - Saúde";"846 - Outros encargos especiais";"- 29.000.000,00";"82.332.543,71";"82.332.543,71";"0,00";
"02/2020";"10 - Saúde";"422 - Direitos individuais, coletivos e difusos";"87.620,43";"552.745,99";"1.867,55";"1.254.754,37";
"02/2020";"10 - Saúde";"541 - Preservação e conservação ambiental";"0,00";"0,00";"0,00";"160.200,00";
"02/2020";"10 - Saúde";"131 - Comunicação social";"10.588.819,57";"1.581.384,44";"671.325,76";"38.911.162,39";
"02/2020";"10 - Saúde";"572 - Desenvolvimento tecnológico e engenharia";"637.468,12";"269.198,69";"0,00";"14.448.255,44";
"02/2020";"10 - Saúde";"391 - Patrimônio histórico, artístico e arqueológico";"65.823,57";"36.310,06";"320.351,02";"296.349,62";
"02/2020";"10 - Saúde";"306 - Alimentação e nutrição";"5.600,00";"2.800,00";"2.800,00";"258.884,96";
"02/2020";"10 - Saúde";"304 - Vigilância sanitária";"2.631.419,95";"1.691.823,38";"1.993.607,65";"573.515,35";
"02/2020";"10 - Saúde";"331 - Proteção e benefícios ao trabalhador";"6.271.489,15";"41.643.308,20";"39.990.154,73";"528.806,89";
"02/2020";"10 - Saúde";"573 - Difusão do conhecimento científico e tecnológico";"500.518,93";"312.294,71";"1.212.316,76";"641.041,86";
"02/2020";"10 - Saúde";"511 - Saneamento básico rural";"- 8.999.991,74";"394.427,91";"238.782,68";"5.965.591,24";
"02/2020";"10 - Saúde";"512 - Saneamento básico urbano";"4.308.336,42";"1.661.492,36";"1.661.492,36";"19.482.709,34";
"02/2020";"10 - Saúde";"125 - Normatização e fiscalização";"2.086.666,97";"1.425.958,08";"1.387.985,82";"86.632,31";
"02/2020";"10 - Saúde";"126 - Tecnologia da informação";"19.038.723,14";"1.430.918,71";"231.376,04";"37.633.406,77";
"02/2020";"10 - Saúde";"305 - Vigilância epidemiológica";"1.060.215.403,82";"226.654.134,40";"216.995.649,84";"233.989.336,14";
"02/2020";"10 - Saúde";"122 - Administração geral";"141.675.907,43";"607.061.218,12";"633.795.224,91";"18.969.189,76";
"02/2020";"10 - Saúde";"571 - Desenvolvimento científico";"30.635.323,82";"19.220.569,47";"16.460.466,63";"45.657.013,97";
"02/2020";"10 - Saúde";"301 - Atenção básica";"1.808.094.479,02";"1.844.825.724,15";"1.816.688.261,70";"25.765.084,79";
"02/2020";"10 - Saúde";"303 - Suporte profilático e terapêutico";"950.996.623,52";"557.740.987,30";"466.632.019,79";"731.227.027,60";
"02/2020";"10 - Saúde";"423 - Assistência aos povos indígenas";"85.049.841,75";"157.598.070,60";"143.085.133,09";"28.790.017,78";
"02/2020";"10 - Saúde";"302 - Assistência hospitalar e ambulatorial";"4.188.666.726,02";"4.084.557.998,71";"4.034.591.603,48";"331.692.284,88";
"02/2020";"10 - Saúde";"128 - Formação de recursos humanos";"80.609.905,52";"80.586.830,62";"68.037.719,28";"12.342.651,43";
"03/2020";"10 - Saúde";"124 - Controle interno";"0,00";"944.671,48";"945.406,12";"7.261,90";
"03/2020";"10 - Saúde";"541 - Preservação e conservação ambiental";"0,00";"0,00";"0,00";"618.137,97";
"03/2020";"10 - Saúde";"306 - Alimentação e nutrição";"- 2.800,00";"- 2.800,00";"- 2.800,00";"3.212.334,00";
"03/2020";"10 - Saúde";"846 - Outros encargos especiais";"13.000.000,00";"92.911.836,96";"92.909.905,75";"3.531,99";
"03/2020";"10 - Saúde";"121 - Planejamento e orçamento";"528.628,00";"9.842,19";"9.722,19";"2.207.871,80";
"03/2020";"10 - Saúde";"422 - Direitos individuais, coletivos e difusos";"1.509.508,00";"638.629,90";"681.700,05";"1.640,00";
"03/2020";"10 - Saúde";"391 - Patrimônio histórico, artístico e arqueológico";"1.042.701,15";"1.015.198,85";"985.847,51";"323.747,51";
"03/2020";"10 - Saúde";"304 - Vigilância sanitária";"4.631.062,14";"2.732.421,42";"1.942.449,96";"397.978,76";
"03/2020";"10 - Saúde";"573 - Difusão do conhecimento científico e tecnológico";"1.921.062,24";"2.117.810,59";"2.088.212,45";"53.707,79";
"03/2020";"10 - Saúde";"126 - Tecnologia da informação";"32.209.606,77";"8.233.236,24";"8.671.103,24";"19.531.595,96";
"03/2020";"10 - Saúde";"512 - Saneamento básico urbano";"0,00";"132.627,53";"132.627,53";"24.600.512,12";
"03/2020";"10 - Saúde";"511 - Saneamento básico rural";"680.927,12";"861.432,21";"550.170,35";"14.313.812,87";
"03/2020";"10 - Saúde";"128 - Formação de recursos humanos";"22.158.850,07";"37.742.099,81";"92.209.977,14";"21.592.901,27";
"03/2020";"10 - Saúde";"125 - Normatização e fiscalização";"1.370.984,16";"1.418.026,57";"1.458.850,01";"5.854,45";
"03/2020";"10 - Saúde";"131 - Comunicação social";"49.727.986,80";"14.202.413,03";"13.613.983,99";"12.577.102,37";
"03/2020";"10 - Saúde";"572 - Desenvolvimento tecnológico e engenharia";"1.162.523,20";"583.023,86";"852.222,55";"17.662.951,55";
"03/2020";"10 - Saúde";"305 - Vigilância epidemiológica";"435.308.620,33";"907.606.238,81";"812.852.777,07";"452.110.385,44";
"03/2020";"10 - Saúde";"122 - Administração geral";"1.579.021.054,16";"1.662.731.099,54";"1.664.453.430,74";"19.659.512,25";
"03/2020";"10 - Saúde";"301 - Atenção básica";"3.600.802.141,56";"1.974.041.278,58";"1.920.688.680,53";"68.753.786,32";
"03/2020";"10 - Saúde";"331 - Proteção e benefícios ao trabalhador";"6.027.746,10";"42.092.703,19";"42.208.813,30";"53.620,16";
"03/2020";"10 - Saúde";"423 - Assistência aos povos indígenas";"38.419.700,98";"64.213.904,00";"56.682.366,75";"6.990.023,13";
"03/2020";"10 - Saúde";"571 - Desenvolvimento científico";"66.315.826,22";"42.332.289,15";"43.485.562,50";"12.818.072,45";
"03/2020";"10 - Saúde";"303 - Suporte profilático e terapêutico";"1.445.481.482,36";"1.018.839.113,62";"976.539.910,43";"816.135.245,11";
"03/2020";"10 - Saúde";"302 - Assistência hospitalar e ambulatorial";"7.822.433.914,29";"7.776.929.061,59";"4.284.041.753,84";"457.999.907,50";
"04/2020";"10 - Saúde";"364 - Ensino superior";"0,00";"0,00";"0,00";"0,00";
"04/2020";"10 - Saúde";"541 - Preservação e conservação ambiental";"82.000,00";"0,00";"0,00";"277.760,05";
"04/2020";"10 - Saúde";"846 - Outros encargos especiais";"10.000.000,00";"92.228.436,26";"89.225.492,35";"0,00";
"04/2020";"10 - Saúde";"422 - Direitos individuais, coletivos e difusos";"3.071.849,22";"3.132,27";"510.940,56";"0,00";
"04/2020";"10 - Saúde";"573 - Difusão do conhecimento científico e tecnológico";"2.317.770,41";"1.688.015,55";"1.192.300,11";"61.432,76";
"04/2020";"10 - Saúde";"126 - Tecnologia da informação";"9.680.288,78";"19.615.008,37";"19.983.583,84";"6.885.693,47";
"04/2020";"10 - Saúde";"512 - Saneamento básico urbano";"525.000,00";"296.946,62";"22.749,82";"22.686.778,23";
"04/2020";"10 - Saúde";"121 - Planejamento e orçamento";"2.805.600,00";"1.533.025,61";"5.017,61";"54.140,00";
"04/2020";"10 - Saúde";"306 - Alimentação e nutrição";"10.655.000,00";"0,00";"0,00";"262.965,00";
"04/2020";"10 - Saúde";"128 - Formação de recursos humanos";"331.864.786,34";"129.221.622,13";"79.219.425,80";"2.494.631,37";
"04/2020";"10 - Saúde";"511 - Saneamento básico rural";"2.696.093,71";"783.237,40";"763.056,22";"9.636.132,58";
"04/2020";"10 - Saúde";"125 - Normatização e fiscalização";"1.268.104,01";"676.121,97";"677.812,64";"182,08";
"04/2020";"10 - Saúde";"124 - Controle interno";"0,00";"418.432,69";"418.432,69";"2.326,02";
"04/2020";"10 - Saúde";"304 - Vigilância sanitária";"3.369.842,14";"2.137.962,13";"2.314.412,16";"242.865,01";
"04/2020";"10 - Saúde";"572 - Desenvolvimento tecnológico e engenharia";"5.132.762,04";"1.944.428,41";"269.198,69";"7.929.699,74";
"04/2020";"10 - Saúde";"131 - Comunicação social";"43.446.221,67";"17.157.468,72";"17.906.261,40";"7.852.482,09";
"04/2020";"10 - Saúde";"303 - Suporte profilático e terapêutico";"1.201.692.985,62";"947.997.158,01";"971.130.140,07";"438.640.268,89";
"04/2020";"10 - Saúde";"391 - Patrimônio histórico, artístico e arqueológico";"986.080,88";"732.618,97";"345.427,34";"36.483,56";
"04/2020";"10 - Saúde";"331 - Proteção e benefícios ao trabalhador";"9.905.718,81";"40.933.317,65";"41.727.410,55";"4.581,18";
"04/2020";"10 - Saúde";"571 - Desenvolvimento científico";"52.353.898,96";"49.342.660,77";"26.109.329,49";"18.619.581,73";
"04/2020";"10 - Saúde";"122 - Administração geral";"7.732.619.317,68";"5.327.787.514,41";"5.290.681.429,56";"18.706.291,03";
"04/2020";"10 - Saúde";"305 - Vigilância epidemiológica";"372.411.810,71";"698.193.196,59";"698.937.149,59";"477.634.256,83";
"04/2020";"10 - Saúde";"301 - Atenção básica";"4.335.949.109,59";"3.745.442.838,38";"3.773.155.981,01";"283.517.437,98";
"04/2020";"10 - Saúde";"423 - Assistência aos povos indígenas";"275.155.544,42";"173.700.026,91";"173.679.968,64";"6.230.786,93";
"04/2020";"10 - Saúde";"302 - Assistência hospitalar e ambulatorial";"5.805.601.049,22";"2.068.863.704,86";"5.518.908.519,54";"367.267.919,72";
"05/2020";"10 - Saúde";"124 - Controle interno";"0,00";"7.336,84";"7.336,84";"993.350,00";
"05/2020";"10 - Saúde";"846 - Outros encargos especiais";"80.003.987,58";"91.400.263,29";"94.405.138,41";"0,00";
"05/2020";"10 - Saúde";"121 - Planejamento e orçamento";"0,00";"1.001.300,55";"1.529.428,55";"6.035.163,36";
"05/2020";"10 - Saúde";"125 - Normatização e fiscalização";"440.221,57";"1.662.118,41";"1.657.683,21";"0,00";
"05/2020";"10 - Saúde";"391 - Patrimônio histórico, artístico e arqueológico";"3.775.476,18";"2.040.177,81";"1.424.691,44";"28.790,49";
"05/2020";"10 - Saúde";"126 - Tecnologia da informação";"42.854.142,17";"25.145.696,07";"25.028.717,54";"3.819.921,71";
