"Mês Ano";"Área de atuação (Função)";"Subfunção";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"01/2021";"10 - Saúde";"306 - Alimentação e nutrição";"24.006,00";"24.006,00";"24.006,00";"2.200,00";
"01/2021";"10 - Saúde";"541 - Preservação e conservação ambiental";"10.000,00";"0,00";"0,00";"0,00";
"01/2021";"10 - Saúde";"422 - Direitos individuais, coletivos e difusos";"90.000,00";"0,00";"0,00";"774.906,57";
"01/2021";"10 - Saúde";"121 - Planejamento e orçamento";"76.252,00";"0,00";"0,00";"4.380.757,74";
"01/2021";"10 - Saúde";"846 - Outros encargos especiais";"1.143.590.677,21";"88.362.542,26";"88.362.486,31";"37.483,74";
"01/2021";"10 - Saúde";"391 - Patrimônio histórico, artístico e arqueológico";"399.034,80";"0,00";"0,00";"351.723,71";
"01/2021";"10 - Saúde";"572 - Desenvolvimento tecnológico e engenharia";"956.392,20";"0,00";"0,00";"13.025.130,16";
"01/2021";"10 - Saúde";"125 - Normatização e fiscalização";"498.414,31";"32.946,80";"32.946,80";"860.169,62";
"01/2021";"10 - Saúde";"511 - Saneamento básico rural";"406.431,52";"255.026,03";"136.530,50";"481.936,16";
"01/2021";"10 - Saúde";"573 - Difusão do conhecimento científico e tecnológico";"337.209,80";"53.438,07";"4.440,00";"497.463,74";
"01/2021";"10 - Saúde";"331 - Proteção e benefícios ao trabalhador";"0,00";"0,00";"0,00";"34.367.548,85";
"01/2021";"10 - Saúde";"126 - Tecnologia da informação";"21.648.117,61";"14.167,49";"14.167,49";"21.234.246,84";
"01/2021";"10 - Saúde";"124 - Controle interno";"25.005,00";"0,00";"0,00";"11.109,78";
"01/2021";"10 - Saúde";"131 - Comunicação social";"20.162.639,76";"0,00";"0,00";"5.777.330,23";
"01/2021";"10 - Saúde";"303 - Suporte profilático e terapêutico";"2.263.038.230,42";"186.327.958,24";"183.334.843,58";"321.658.455,51";
"01/2021";"10 - Saúde";"512 - Saneamento básico urbano";"21.000,00";"0,00";"0,00";"2.176.642,99";
"01/2021";"10 - Saúde";"128 - Formação de recursos humanos";"92.197.797,06";"72.893.899,82";"9.436.170,91";"75.018.205,22";
"01/2021";"10 - Saúde";"304 - Vigilância sanitária";"43.231.903,27";"127.686,34";"112.417,03";"3.681.894,77";
"01/2021";"10 - Saúde";"423 - Assistência aos povos indígenas";"217.582.658,67";"18.331.335,02";"2.933.197,93";"25.246.331,56";
"01/2021";"10 - Saúde";"571 - Desenvolvimento científico";"22.365.983,90";"6.837.564,56";"19.372,58";"35.308.115,50";
"01/2021";"10 - Saúde";"122 - Administração geral";"8.664.008.803,60";"615.228.805,87";"253.087.257,39";"1.645.107.860,54";
"01/2021";"10 - Saúde";"301 - Atenção básica";"1.229.782.400,99";"583.754.322,42";"342.798.960,05";"398.499.246,20";
"01/2021";"10 - Saúde";"305 - Vigilância epidemiológica";"1.996.491.331,64";"332.220.508,41";"317.595.767,97";"255.493.371,87";
"01/2021";"10 - Saúde";"302 - Assistência hospitalar e ambulatorial";"7.722.134.564,35";"3.801.438.247,94";"3.770.884.158,11";"372.391.902,81";
"02/2021";"10 - Saúde";"124 - Controle interno";"600.000,00";"600.000,00";"0,00";"0,00";
"02/2021";"10 - Saúde";"306 - Alimentação e nutrição";"0,00";"0,00";"0,00";"963.131,84";
"02/2021";"10 - Saúde";"125 - Normatização e fiscalização";"1.041.912,10";"590.658,35";"589.081,10";"109.656,38";
"02/2021";"10 - Saúde";"391 - Patrimônio histórico, artístico e arqueológico";"350.004,73";"39.502,71";"39,53";"644.014,36";
"02/2021";"10 - Saúde";"121 - Planejamento e orçamento";"0,00";"0,00";"0,00";"9.240,00";
"02/2021";"10 - Saúde";"846 - Outros encargos especiais";"12.021,04";"84.925.120,22";"84.925.120,22";"4.660,50";
"02/2021";"10 - Saúde";"422 - Direitos individuais, coletivos e difusos";"1.643.677,50";"766.151,99";"766.151,99";"684.036,42";
"02/2021";"10 - Saúde";"541 - Preservação e conservação ambiental";"16.000,00";"3.178,59";"3.178,59";"114.404,18";
