"Mês Ano";"Área de atuação (Função)";"Subfunção";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"01/2024";"10 - Saúde";"306 - Alimentação e nutrição";"48.276,36";"48.276,36";"48.276,36";"5.436.105,00";
"01/2024";"10 - Saúde";"124 - Controle interno";"0,00";"0,00";"0,00";"451.576,19";
"01/2024";"10 - Saúde";"846 - Outros encargos especiais";"1.006.091.637,61";"80.576.253,97";"80.576.253,97";"74.042,92";
"01/2024";"10 - Saúde";"422 - Direitos individuais, coletivos e difusos";"439.842,70";"0,00";"0,00";"131.247,37";
"01/2024";"10 - Saúde";"572 - Desenvolvimento tecnológico e engenharia";"5.082.091,94";"85.891,94";"0,00";"11.947.724,10";
"01/2024";"10 - Saúde";"121 - Planejamento e orçamento";"19.054.875,46";"0,00";"0,00";"3.601.434,91";
"01/2024";"10 - Saúde";"541 - Preservação e conservação ambiental";"0,00";"0,00";"0,00";"344.036,04";
"01/2024";"10 - Saúde";"131 - Comunicação social";"17.900.000,00";"0,00";"0,00";"11.466.177,88";
"01/2024";"10 - Saúde";"126 - Tecnologia da informação";"22.341.648,34";"800.846,38";"562.453,03";"11.168.976,65";
"01/2024";"10 - Saúde";"391 - Patrimônio histórico, artístico e arqueológico";"2.150.287,37";"27.670,98";"8.050,19";"3.270.016,76";
"01/2024";"10 - Saúde";"512 - Saneamento básico urbano";"149.980,20";"0,00";"0,00";"13.169.284,23";
"01/2024";"10 - Saúde";"573 - Difusão do conhecimento científico e tecnológico";"1.904.953,27";"476.313,69";"417.395,12";"9.428.489,75";
"01/2024";"10 - Saúde";"125 - Normatização e fiscalização";"1.529.597,34";"105.011,26";"96.805,48";"1.119.301,91";
"01/2024";"10 - Saúde";"304 - Vigilância sanitária";"6.030.665,58";"1.703.223,99";"1.565.480,02";"6.269.389,05";
"01/2024";"10 - Saúde";"301 - Atenção básica";"2.798.961.576,82";"2.707.927.225,71";"2.472.208.968,89";"476.728.117,38";
"01/2024";"10 - Saúde";"128 - Formação de recursos humanos";"129.392.214,04";"119.954.703,26";"116.950.857,92";"8.692.678,14";
"01/2024";"10 - Saúde";"331 - Proteção e benefícios ao trabalhador";"639.637.957,95";"55.191.211,82";"2.278.106,06";"58.850.994,09";
"01/2024";"10 - Saúde";"303 - Suporte profilático e terapêutico";"3.160.418.120,92";"231.944.283,68";"219.520.960,49";"1.105.168.307,94";
"01/2024";"10 - Saúde";"122 - Administração geral";"6.564.347.489,66";"1.498.910.082,48";"1.109.460.943,27";"600.293.051,48";
"01/2024";"10 - Saúde";"571 - Desenvolvimento científico";"42.675.720,38";"5.395.776,76";"1.022.133,25";"187.430.785,92";
"01/2024";"10 - Saúde";"305 - Vigilância epidemiológica";"994.917.742,39";"291.757.436,88";"291.382.749,45";"561.395.341,02";
"01/2024";"10 - Saúde";"423 - Assistência aos povos indígenas";"194.452.465,27";"130.105.715,08";"124.625.956,57";"65.211.781,41";
"01/2024";"10 - Saúde";"302 - Assistência hospitalar e ambulatorial";"9.760.956.704,91";"4.815.498.422,59";"4.773.147.023,25";"281.620.899,15";
"01/2024";"10 - Saúde";"511 - Saneamento básico rural";"3.732.986,06";"430.108,74";"260.963,68";"11.638.900,57";
